casualty_severity,sex_of_casualty,age_of_casualty,age_band_of_casualty,pedestrian_location,pedestrian_movement,obs_date,light_conditions,weather_conditions,urban_or_rural_area,road_surface_conditions,special_conditions_at_site,age_of_driver,sex_of_driver,vehicle_type
Serious,Male,13,11 - 15,On footway or verge,Unknown or other,2023-03-31T14:44:00Z,Daylight,Fine no high winds,Urban,Dry,None,51,Female,19
Serious,Male,13,11 - 15,On footway or verge,Unknown or other,2023-03-31T14:44:00Z,Daylight,Fine no high winds,Urban,Dry,None,20,Female,9
Slight,Female,48,46 - 55,"In carriageway, not crossing",Unknown or other,2023-02-02T16:00:00Z,Daylight,Fine no high winds,Urban,Dry,None,-1,Not known,9
Slight,Male,25,21 - 25,"In carriageway, not crossing","In carriageway, stationary",2023-12-10T14:40:00Z,Daylight,Unknown,Rural,NA,NA,-1,Not known,9
Serious,Female,69,66 - 75,"In carriageway, crossing elsewhere",From drivers nearside,2023-03-23T16:30:00Z,Daylight,Raining no high winds,Urban,Wet or damp,None,-1,Male,9
Serious,Male,38,36 - 45,"In carriageway, crossing elsewhere",From drivers nearside,2023-03-03T10:27:00Z,Daylight,Fine no high winds,Urban,Dry,None,39,Male,9
Serious,Male,38,36 - 45,On pedestrian crossing facility,From nearside masked by vehicle,2023-09-08T17:18:00Z,Daylight,Fine no high winds,Urban,Dry,None,36,Male,9
Serious,Male,15,11 - 15,Unknown or other,Unknown or other,2023-07-29T16:38:00Z,Daylight,Fine no high winds,Urban,Dry,None,33,Male,11
Slight,Male,65,56 - 65,"In carriageway, crossing elsewhere",From drivers nearside,2023-07-24T10:45:00Z,Daylight,Fine no high winds,Urban,Dry,None,63,Male,9
Slight,Male,53,46 - 55,"In carriageway, crossing elsewhere",From drivers nearside,2023-12-08T14:20:00Z,Daylight,Fine no high winds,Urban,Dry,None,20,Male,9
Slight,Male,39,36 - 45,"In carriageway, crossing elsewhere",From drivers offside,2023-07-04T22:03:00Z,Darkness - lights lit,Raining no high winds,Urban,Wet or damp,None,26,Female,9
Serious,Male,12,11 - 15,"In carriageway, crossing elsewhere",From drivers offside,2023-06-08T15:07:00Z,Daylight,Fine no high winds,Urban,Dry,None,30,Not known,9
Serious,Male,41,36 - 45,"In carriageway, crossing elsewhere",From nearside masked by vehicle,2023-10-12T17:50:00Z,Daylight,Fine no high winds,Urban,Wet or damp,None,19,Male,3
Slight,Male,30,26 - 35,"In carriageway, crossing elsewhere",From drivers offside,2023-10-04T14:35:00Z,Daylight,Fine no high winds,Urban,Dry,None,-1,Not known,9
Serious,Female,16,16 - 20,"In carriageway, crossing elsewhere",From drivers nearside,2023-01-11T15:23:00Z,Daylight,Raining no high winds,Urban,Wet or damp,None,63,Male,9
Slight,Female,20,16 - 20,On zig-zag exit lines,From drivers nearside,2023-10-13T16:33:00Z,Daylight,Fine no high winds,Urban,Dry,None,36,Male,9
Slight,Male,16,16 - 20,Centre of carriageway without refuge,Walking facing traffic,2023-10-13T16:33:00Z,Daylight,Fine no high winds,Urban,Dry,None,36,Male,9
Fatal,Male,31,26 - 35,Within 50m. of crossing,From drivers nearside,2023-11-12T20:02:00Z,Darkness - lights lit,Raining no high winds,Urban,Wet or damp,None,-1,Not known,9
Serious,Male,15,11 - 15,"In carriageway, crossing elsewhere",From offside masked by vehicle,2023-10-17T08:30:00Z,Daylight,Fine no high winds,Urban,Dry,None,58,Male,9
Fatal,Male,37,36 - 45,On footway or verge,Unknown or other,2023-02-23T20:20:00Z,Darkness - lights lit,Fine no high winds,Urban,Dry,None,25,Male,9
Serious,Male,83,Over 75,"In carriageway, crossing elsewhere",From drivers nearside,2023-06-09T10:13:00Z,Daylight,Fine no high winds,Urban,Dry,None,50,Male,21
Serious,Female,21,21 - 25,On footway or verge,Unknown or other,2023-01-28T21:37:00Z,Darkness - lights lit,Fine no high winds,Urban,Dry,None,17,Male,9
Slight,Male,18,16 - 20,On footway or verge,Unknown or other,2023-01-28T21:37:00Z,Darkness - lights lit,Fine no high winds,Urban,Dry,None,17,Male,9
Slight,Male,19,16 - 20,On footway or verge,Unknown or other,2023-01-28T21:37:00Z,Darkness - lights lit,Fine no high winds,Urban,Dry,None,17,Male,9
Serious,Female,17,16 - 20,On footway or verge,Unknown or other,2023-01-28T21:37:00Z,Darkness - lights lit,Fine no high winds,Urban,Dry,None,17,Male,9
Slight,Male,5,0 - 5,Centre of carriageway without refuge,From offside masked by vehicle,2023-03-03T08:37:00Z,Daylight,Fine no high winds,Urban,Dry,None,32,Female,9
Slight,Male,37,36 - 45,"In carriageway, not crossing","In carriageway, stationary",2023-11-28T15:43:00Z,Darkness - lighting unknown,Fine no high winds,Urban,Dry,None,48,Male,9
Fatal,Male,13,11 - 15,Within 50m. of crossing,From drivers nearside,2023-05-10T17:45:00Z,Daylight,Fine no high winds,Urban,Dry,None,35,Female,9
Slight,Male,32,26 - 35,"In carriageway, not crossing",Walking back to traffic,2023-12-23T23:00:00Z,Darkness - lights lit,Raining no high winds,Urban,Wet or damp,None,35,Not known,9
Fatal,Male,35,26 - 35,Centre of carriageway without refuge,Walking facing traffic,2023-02-14T19:22:00Z,Darkness - no lighting,Fine no high winds,Rural,Dry,None,23,Male,9
Fatal,Male,44,36 - 45,"In carriageway, crossing elsewhere",From drivers nearside,2023-12-11T20:16:00Z,Darkness - lights lit,Fine no high winds,Rural,Dry,None,76,Female,9
Fatal,Male,44,36 - 45,"In carriageway, crossing elsewhere",From drivers nearside,2023-12-11T20:16:00Z,Darkness - lights lit,Fine no high winds,Rural,Dry,None,27,Male,21
Slight,Male,41,36 - 45,"In carriageway, not crossing",Walking back to traffic,2023-07-24T20:00:00Z,Daylight,Fine no high winds,Urban,Dry,None,32,Male,9
Slight,Female,12,11 - 15,Centre of carriageway without refuge,From drivers offside,2023-03-11T12:10:00Z,Daylight,Fine no high winds,Urban,Dry,None,-1,Not known,9
Serious,Male,74,66 - 75,"In carriageway, crossing elsewhere",From drivers nearside,2023-01-30T08:53:00Z,Daylight,Fine no high winds,Urban,Wet or damp,None,35,Female,9
Fatal,Female,82,Over 75,"In carriageway, crossing elsewhere",From drivers nearside,2023-08-08T11:07:00Z,Daylight,Fine no high winds,Urban,Wet or damp,None,-1,Not known,9
Fatal,Female,82,Over 75,"In carriageway, crossing elsewhere",From drivers nearside,2023-08-08T11:07:00Z,Daylight,Fine no high winds,Urban,Wet or damp,None,28,Male,9
Fatal,Male,35,26 - 35,Unknown or other,Unknown or other,2023-07-07T06:12:00Z,Daylight,Fine no high winds,Rural,Dry,None,50,Male,21
Serious,Male,29,26 - 35,On pedestrian crossing facility,Unknown or other,2023-07-25T13:10:00Z,Daylight,Fine no high winds,Urban,Dry,None,55,Female,9
Slight,Male,10,6 - 10,"In carriageway, crossing elsewhere",Unknown or other,2023-12-11T15:42:00Z,Daylight,Unknown,Urban,NA,None,35,Male,9
