casualty_severity,sex_of_casualty,age_of_casualty,age_band_of_casualty,pedestrian_location,pedestrian_movement,obs_date,light_conditions,weather_conditions,urban_or_rural_area,road_surface_conditions,special_conditions_at_site,age_of_driver,sex_of_driver,vehicle_type
Serious,Female,24,21 - 25,"In carriageway, crossing elsewhere",From drivers nearside,2023-05-14T10:00:00Z,Daylight,Fine no high winds,Urban,Dry,None,35,Male,9
Serious,Female,48,46 - 55,On pedestrian crossing facility,Unknown or other,2023-07-01T23:16:00Z,Darkness - lights lit,Fine no high winds,Urban,Dry,None,-1,Not known,90
Serious,Female,15,11 - 15,Unknown or other,Unknown or other,2023-04-18T18:00:00Z,Daylight,Fine no high winds,Urban,Dry,None,-1,Female,9
Serious,Male,48,46 - 55,On pedestrian crossing facility,From drivers offside,2023-02-19T19:31:00Z,Darkness - lights lit,Fine no high winds,Urban,Dry,None,-1,Not known,9
Serious,Male,48,46 - 55,On pedestrian crossing facility,From drivers offside,2023-02-19T19:31:00Z,Darkness - lights lit,Fine no high winds,Urban,Dry,None,-1,Not known,9
Serious,Male,48,46 - 55,On pedestrian crossing facility,From drivers offside,2023-02-19T19:31:00Z,Darkness - lights lit,Fine no high winds,Urban,Dry,None,23,Male,9
Serious,Male,48,46 - 55,On pedestrian crossing facility,From drivers offside,2023-02-19T19:31:00Z,Darkness - lights lit,Fine no high winds,Urban,Dry,None,23,Female,9
Serious,Male,48,46 - 55,On pedestrian crossing facility,From drivers offside,2023-02-19T19:31:00Z,Darkness - lights lit,Fine no high winds,Urban,Dry,None,20,Male,5
Fatal,Male,8,6 - 10,On pedestrian crossing facility,From drivers offside,2023-02-19T19:31:00Z,Darkness - lights lit,Fine no high winds,Urban,Dry,None,-1,Not known,9
Fatal,Male,8,6 - 10,On pedestrian crossing facility,From drivers offside,2023-02-19T19:31:00Z,Darkness - lights lit,Fine no high winds,Urban,Dry,None,-1,Not known,9
Fatal,Male,8,6 - 10,On pedestrian crossing facility,From drivers offside,2023-02-19T19:31:00Z,Darkness - lights lit,Fine no high winds,Urban,Dry,None,23,Male,9
Fatal,Male,8,6 - 10,On pedestrian crossing facility,From drivers offside,2023-02-19T19:31:00Z,Darkness - lights lit,Fine no high winds,Urban,Dry,None,23,Female,9
Fatal,Male,8,6 - 10,On pedestrian crossing facility,From drivers offside,2023-02-19T19:31:00Z,Darkness - lights lit,Fine no high winds,Urban,Dry,None,20,Male,5
Serious,Male,10,6 - 10,On pedestrian crossing facility,From drivers offside,2023-02-19T19:31:00Z,Darkness - lights lit,Fine no high winds,Urban,Dry,None,-1,Not known,9
Serious,Male,10,6 - 10,On pedestrian crossing facility,From drivers offside,2023-02-19T19:31:00Z,Darkness - lights lit,Fine no high winds,Urban,Dry,None,-1,Not known,9
Serious,Male,10,6 - 10,On pedestrian crossing facility,From drivers offside,2023-02-19T19:31:00Z,Darkness - lights lit,Fine no high winds,Urban,Dry,None,23,Male,9
Serious,Male,10,6 - 10,On pedestrian crossing facility,From drivers offside,2023-02-19T19:31:00Z,Darkness - lights lit,Fine no high winds,Urban,Dry,None,23,Female,9
Serious,Male,10,6 - 10,On pedestrian crossing facility,From drivers offside,2023-02-19T19:31:00Z,Darkness - lights lit,Fine no high winds,Urban,Dry,None,20,Male,5
Serious,Female,14,11 - 15,"In carriageway, crossing elsewhere",From drivers offside,2023-10-11T16:45:00Z,Daylight,Fine no high winds,Urban,Dry,None,35,Female,9
Serious,Male,91,Over 75,"In carriageway, crossing elsewhere",From drivers nearside,2023-03-23T19:45:00Z,Darkness - lights lit,Raining no high winds,Urban,Wet or damp,None,60,Male,9
Slight,Male,37,36 - 45,"In carriageway, not crossing","In carriageway, stationary",2023-02-06T14:45:00Z,Daylight,Fine no high winds,Urban,Dry,None,-1,Male,9
Serious,Male,41,36 - 45,On pedestrian crossing facility,From drivers nearside,2023-12-01T18:00:00Z,Darkness - lights lit,Fog or mist,Urban,Wet or damp,None,26,Male,9
Fatal,Male,41,36 - 45,"In carriageway, not crossing",Walking facing traffic,2023-03-30T01:20:00Z,Darkness - no lighting,Fog or mist,Rural,Wet or damp,None,25,Male,9
Slight,Male,-1,NA,"In carriageway, crossing elsewhere",From drivers offside,2023-09-11T09:37:00Z,Daylight,Unknown,Urban,Dry,None,41,Male,9
Slight,Male,28,26 - 35,Unknown or other,Unknown or other,2023-08-15T00:05:00Z,Darkness - lights lit,Fine no high winds,Urban,Dry,None,36,Male,9
Serious,Male,28,26 - 35,Unknown or other,Unknown or other,2023-08-15T00:05:00Z,Darkness - lights lit,Fine no high winds,Urban,Dry,None,36,Male,9
Fatal,Male,88,Over 75,Centre of carriageway without refuge,From drivers nearside,2023-12-19T06:55:00Z,Darkness - lights lit,Fine no high winds,Urban,Wet or damp,None,50,Male,9
Serious,Male,6,6 - 10,On footway or verge,Unknown or other,2023-06-02T10:00:00Z,Daylight,Fine no high winds,Urban,Dry,None,29,Male,3
Slight,Male,14,11 - 15,On pedestrian crossing facility,From drivers offside,2023-07-12T15:42:00Z,Daylight,Fine no high winds,Urban,Dry,None,56,Male,9
Serious,Male,15,11 - 15,Within 50m. of crossing,From drivers offside,2023-10-20T23:40:00Z,Darkness - lights lit,Fine no high winds,Urban,Dry,None,60,Male,8
Serious,Male,30,26 - 35,"In carriageway, crossing elsewhere",From drivers offside,2023-06-25T21:40:00Z,Daylight,Fine no high winds,Urban,Dry,None,-1,Not known,9
Serious,Male,40,36 - 45,On pedestrian crossing facility,From drivers offside,2023-08-10T21:52:00Z,Darkness - lights lit,Other,Urban,Wet or damp,None,-1,Male,9
Slight,Female,24,21 - 25,"In carriageway, crossing elsewhere",From drivers offside,2023-07-20T17:47:00Z,Daylight,Fine no high winds,Urban,Dry,None,62,Male,8
Fatal,Female,52,46 - 55,"In carriageway, crossing elsewhere",From drivers nearside,2023-03-18T21:39:00Z,Darkness - lights lit,Raining no high winds,Urban,Wet or damp,None,20,Male,9
Serious,Male,81,Over 75,On pedestrian crossing facility,From drivers offside,2023-04-18T08:50:00Z,Daylight,Fine no high winds,Urban,Dry,None,30,Female,9
Serious,Male,56,56 - 65,On pedestrian crossing facility,Unknown or other,2023-11-24T19:05:00Z,Darkness - lights lit,Fine no high winds,Urban,Dry,None,-1,Not known,11
Fatal,Male,62,56 - 65,"In carriageway, crossing elsewhere",From drivers nearside,2023-11-14T13:05:00Z,Daylight,Raining no high winds,Urban,Wet or damp,NA,61,Male,21
Fatal,Male,69,66 - 75,Within 50m. of crossing,Unknown or other,2023-02-22T12:35:00Z,Daylight,Fine no high winds,Urban,Dry,Roadworks,57,Male,21
Slight,Female,15,11 - 15,"In carriageway, crossing elsewhere",From drivers nearside,2023-03-09T08:00:00Z,Daylight,Snowing no high winds,Urban,Wet or damp,None,-1,Not known,9
Slight,Female,12,11 - 15,"In carriageway, crossing elsewhere",From drivers nearside,2023-05-20T18:25:00Z,Daylight,Fine no high winds,Rural,Dry,None,53,Male,9
Serious,Male,3,0 - 5,On zig-zag approach lines,From offside masked by vehicle,2023-06-30T15:23:00Z,Daylight,Fine no high winds,Urban,Dry,None,46,Male,9
Slight,Male,48,46 - 55,Within 50m. of crossing,From drivers offside,2023-10-10T17:35:00Z,Daylight,Fine no high winds,Urban,Dry,NA,-1,Male,9
Fatal,Male,26,26 - 35,"In carriageway, not crossing",Walking back to traffic,2023-07-15T05:20:00Z,Darkness - no lighting,Other,Rural,Wet or damp,None,35,Female,9
Fatal,Male,43,36 - 45,Centre of carriageway without refuge,"In carriageway, stationary",2023-10-29T05:51:00Z,Darkness - lights lit,Raining no high winds,Rural,Wet or damp,None,51,Male,9
Fatal,Male,43,36 - 45,Centre of carriageway without refuge,"In carriageway, stationary",2023-10-29T05:51:00Z,Darkness - lights lit,Raining no high winds,Rural,Wet or damp,None,33,Male,9
Fatal,Male,43,36 - 45,Centre of carriageway without refuge,"In carriageway, stationary",2023-10-29T05:51:00Z,Darkness - lights lit,Raining no high winds,Rural,Wet or damp,None,36,Male,9
Fatal,Male,43,36 - 45,Centre of carriageway without refuge,"In carriageway, stationary",2023-10-29T05:51:00Z,Darkness - lights lit,Raining no high winds,Rural,Wet or damp,None,-1,Not known,9
Fatal,Female,40,36 - 45,"In carriageway, not crossing",Walking back to traffic,2023-11-05T09:15:00Z,Daylight,Fine no high winds,Rural,Wet or damp,None,19,Female,9
Serious,Male,77,Over 75,"In carriageway, crossing elsewhere",From drivers nearside,2023-04-29T20:58:00Z,Darkness - lights lit,Raining no high winds,Urban,Wet or damp,None,57,Male,8
Fatal,Female,90,Over 75,Centre of carriageway without refuge,From offside masked by vehicle,2023-05-02T10:02:00Z,Daylight,Fine no high winds,Urban,Dry,None,89,Male,9
Fatal,Female,90,Over 75,Centre of carriageway without refuge,From offside masked by vehicle,2023-05-02T10:02:00Z,Daylight,Fine no high winds,Urban,Dry,None,36,Male,98
Fatal,Female,90,Over 75,Centre of carriageway without refuge,From offside masked by vehicle,2023-05-02T10:02:00Z,Daylight,Fine no high winds,Urban,Dry,None,85,Male,9
Fatal,Female,61,56 - 65,Centre of carriageway without refuge,Unknown or other,2023-06-11T23:05:00Z,Darkness - no lighting,Fine no high winds,Rural,Dry,None,58,Male,21
Serious,Female,80,Over 75,"In carriageway, crossing elsewhere",From drivers nearside,2023-10-11T13:05:00Z,Daylight,Raining no high winds,Urban,Wet or damp,None,42,Male,9
Slight,Male,86,Over 75,On pedestrian crossing facility,From drivers offside,2023-10-27T11:15:00Z,Daylight,Fine no high winds,Urban,Dry,None,37,Female,9
Slight,NA,26,26 - 35,On footway or verge,Unknown or other,2023-02-10T08:15:00Z,Daylight,Fine no high winds,Urban,Dry,Road sign or marking defective or obscured,-1,Male,1
Serious,Male,25,21 - 25,Within 50m. of crossing,From drivers nearside,2023-07-28T11:25:00Z,Daylight,Fine no high winds,Urban,Dry,None,53,Male,11
Slight,Male,39,36 - 45,"In carriageway, not crossing",Unknown or other,2023-12-07T17:00:00Z,Darkness - lights lit,Unknown,Rural,Dry,None,-1,Not known,9
Slight,Male,39,36 - 45,"In carriageway, not crossing",Unknown or other,2023-12-07T17:00:00Z,Darkness - lights lit,Unknown,Rural,Dry,None,-1,Not known,9
Slight,Male,3,0 - 5,On pedestrian crossing facility,From drivers nearside,2023-08-09T12:15:00Z,Daylight,Fine no high winds,Urban,Dry,None,46,Male,19
Fatal,Male,44,36 - 45,Within 50m. of crossing,From drivers offside,2023-02-06T17:24:00Z,Darkness - lights lit,Fine no high winds,Rural,Dry,None,52,Male,5
Slight,Male,53,46 - 55,On footway or verge,Unknown or other,2023-08-26T23:50:00Z,Darkness - lights lit,Fine no high winds,Urban,Dry,None,-1,Not known,9
Slight,Male,40,36 - 45,On zig-zag approach lines,"In carriageway, stationary, masked",2023-10-18T19:55:00Z,Darkness - lights lit,Raining high winds,Urban,Flood over 3cm. deep,None,40,Female,9
Serious,Male,35,26 - 35,"In carriageway, not crossing",Unknown or other,2023-02-10T22:09:00Z,Darkness - lights lit,Fine no high winds,Urban,Dry,None,-1,Not known,9
Serious,Female,45,36 - 45,"In carriageway, not crossing",Walking facing traffic,2023-08-21T13:15:00Z,Daylight,Fine no high winds,Urban,Dry,None,76,Male,9
Serious,Male,46,46 - 55,Unknown or other,Unknown or other,2023-01-15T01:50:00Z,Darkness - lights lit,Fine no high winds,Urban,Dry,None,28,Male,3
Slight,Male,14,11 - 15,Centre of carriageway without refuge,From drivers nearside,2023-11-14T08:00:00Z,Daylight,Unknown,Urban,Wet or damp,None,-1,Male,9
Slight,Female,12,11 - 15,On pedestrian crossing facility,From drivers nearside,2023-01-12T15:00:00Z,Daylight,Fine no high winds,Urban,Wet or damp,None,-1,Not known,9
Serious,Female,42,36 - 45,On footway or verge,Unknown or other,2023-09-17T16:45:00Z,Daylight,Fine no high winds,Urban,Dry,None,34,Female,9
Slight,Female,60,56 - 65,Unknown or other,From drivers nearside,2023-01-04T09:30:00Z,Daylight,Fine no high winds,Urban,Wet or damp,None,30,Male,9
Serious,Male,46,46 - 55,"In carriageway, not crossing",Unknown or other,2023-08-19T09:01:00Z,Daylight,Fine no high winds,Urban,Wet or damp,None,51,Male,9
Fatal,Female,71,66 - 75,"In carriageway, crossing elsewhere",From drivers nearside,2023-03-20T17:23:00Z,Daylight,Fine no high winds,Urban,Wet or damp,None,54,Female,9
Slight,Female,54,46 - 55,Unknown or other,Unknown or other,2023-02-26T18:58:00Z,Darkness - lights lit,Unknown,Urban,Dry,None,25,Male,9
Slight,Male,14,11 - 15,"In carriageway, crossing elsewhere",Unknown or other,2023-04-02T18:30:00Z,Daylight,Fine no high winds,Urban,Dry,None,20,Male,3
Slight,NA,-1,NA,Unknown or other,Unknown or other,2023-01-20T13:00:00Z,Daylight,Fine no high winds,Urban,Dry,None,-1,Not known,9
Slight,NA,-1,NA,Unknown or other,Unknown or other,2023-01-20T13:00:00Z,Daylight,Fine no high winds,Urban,Dry,None,71,Male,9
Fatal,Male,75,66 - 75,"In carriageway, crossing elsewhere",From drivers offside,2023-01-07T17:15:00Z,Darkness - lights lit,Raining no high winds,Urban,Wet or damp,None,55,Male,19
Slight,Female,27,26 - 35,On pedestrian crossing facility,From drivers offside,2023-12-31T22:22:00Z,Darkness - lights lit,Raining no high winds,Rural,Wet or damp,NA,40,Male,9
Slight,Male,13,11 - 15,Centre of carriageway without refuge,From drivers nearside,2023-09-27T08:15:00Z,Daylight,Fine no high winds,Urban,Dry,None,28,Female,9
Fatal,Female,62,56 - 65,"In carriageway, crossing elsewhere",From drivers offside,2023-09-28T18:15:00Z,Daylight,Fine no high winds,Rural,Dry,None,21,Male,9
Slight,Female,67,66 - 75,Within 50m. of crossing,From drivers nearside,2023-03-22T16:00:00Z,Daylight,Fine no high winds,Urban,Dry,None,18,Female,9
Slight,Female,74,66 - 75,Within 50m. of crossing,From drivers nearside,2023-03-22T16:00:00Z,Daylight,Fine no high winds,Urban,Dry,None,18,Female,9
Slight,Female,21,21 - 25,Unknown or other,From drivers nearside,2023-04-28T11:45:00Z,Daylight,Fine no high winds,Urban,Dry,None,-1,Not known,9
Fatal,Male,45,36 - 45,On footway or verge,Unknown or other,2023-08-07T16:32:00Z,Daylight,Fine no high winds,Urban,Dry,None,36,Male,19
Slight,Male,4,0 - 5,"In carriageway, crossing elsewhere",Unknown or other,2023-03-21T12:15:00Z,Daylight,Unknown,Urban,NA,None,67,Female,9
Serious,Female,51,46 - 55,Centre of carriageway without refuge,Walking back to traffic,2023-12-06T08:30:00Z,Daylight,Fog or mist,Urban,Frost or ice,None,42,Male,9
Serious,Female,6,6 - 10,"In carriageway, crossing elsewhere",From drivers nearside,2023-07-21T17:45:00Z,Daylight,Fine no high winds,Urban,Dry,None,41,Male,9
Serious,Male,16,16 - 20,Centre of carriageway without refuge,Unknown or other,2023-09-27T16:51:00Z,Daylight,Raining no high winds,Urban,Wet or damp,None,59,Male,11
Serious,Male,78,Over 75,Unknown or other,Unknown or other,2023-10-13T18:45:00Z,Darkness - lights lit,Raining no high winds,Urban,Wet or damp,None,19,Female,9
Serious,Male,89,Over 75,"In carriageway, crossing elsewhere",From drivers nearside,2023-11-16T20:35:00Z,Darkness - lights lit,Raining no high winds,Urban,Wet or damp,None,37,Female,9
Serious,Male,51,46 - 55,"In carriageway, not crossing",Walking back to traffic,2023-12-21T18:44:00Z,Darkness - no lighting,Fine high winds,Rural,Wet or damp,None,57,Female,9
Serious,Male,22,21 - 25,"In carriageway, crossing elsewhere",From drivers offside,2023-08-20T04:30:00Z,Darkness - lights lit,Fine no high winds,Urban,Dry,None,-1,Not known,9
Fatal,Male,18,16 - 20,On footway or verge,"In carriageway, stationary",2023-12-02T13:10:00Z,Daylight,Fine no high winds,Rural,Snow,NA,49,Male,19
Fatal,Male,18,16 - 20,On footway or verge,"In carriageway, stationary",2023-12-02T13:10:00Z,Daylight,Fine no high winds,Rural,Snow,NA,57,Female,9
Fatal,Female,76,Over 75,On footway or verge,Unknown or other,2023-08-02T16:15:00Z,Daylight,Fine no high winds,Urban,Dry,None,-1,Not known,9
Fatal,Female,76,Over 75,On footway or verge,Unknown or other,2023-08-02T16:15:00Z,Daylight,Fine no high winds,Urban,Dry,None,-1,Not known,9
Fatal,Female,76,Over 75,On footway or verge,Unknown or other,2023-08-02T16:15:00Z,Daylight,Fine no high winds,Urban,Dry,None,95,Female,9
Slight,Female,80,Over 75,On footway or verge,Unknown or other,2023-08-02T16:15:00Z,Daylight,Fine no high winds,Urban,Dry,None,-1,Not known,9
Slight,Female,80,Over 75,On footway or verge,Unknown or other,2023-08-02T16:15:00Z,Daylight,Fine no high winds,Urban,Dry,None,-1,Not known,9
Slight,Female,80,Over 75,On footway or verge,Unknown or other,2023-08-02T16:15:00Z,Daylight,Fine no high winds,Urban,Dry,None,95,Female,9
Slight,Male,40,36 - 45,On pedestrian crossing facility,From drivers offside,2023-04-13T16:29:00Z,Daylight,Fine no high winds,Urban,Wet or damp,None,-1,Not known,9
Slight,Female,22,21 - 25,"In carriageway, crossing elsewhere",From drivers nearside,2023-05-10T08:05:00Z,Daylight,Fine no high winds,Rural,Dry,None,64,Female,9
Slight,Female,1,0 - 5,"In carriageway, crossing elsewhere",From drivers nearside,2023-05-10T08:05:00Z,Daylight,Fine no high winds,Rural,Dry,None,64,Female,9
Serious,Male,26,26 - 35,Centre of carriageway without refuge,From drivers offside,2023-06-27T15:15:00Z,Daylight,Fine no high winds,Urban,Dry,None,37,Male,19
Fatal,Female,30,26 - 35,"In carriageway, not crossing",Unknown or other,2023-12-09T07:41:00Z,Darkness - no lighting,Raining no high winds,Rural,Wet or damp,NA,50,Male,21
Fatal,Female,30,26 - 35,"In carriageway, not crossing",Unknown or other,2023-12-09T07:41:00Z,Darkness - no lighting,Raining no high winds,Rural,Wet or damp,NA,53,Male,9
Serious,Female,44,36 - 45,On footway or verge,Walking facing traffic,2023-12-20T17:05:00Z,Darkness - lights unlit,Fine no high winds,Rural,Wet or damp,None,85,Male,9
Slight,Male,35,26 - 35,"In carriageway, crossing elsewhere",From drivers nearside,2023-09-10T17:46:00Z,Daylight,Fine no high winds,Rural,Dry,None,26,Male,8
Serious,Male,49,46 - 55,Centre of carriageway without refuge,Walking facing traffic,2023-08-10T23:43:00Z,Darkness - lights lit,Fine no high winds,Urban,Dry,None,-1,Not known,3
Serious,Female,21,21 - 25,Centre of carriageway without refuge,Unknown or other,2023-10-08T19:00:00Z,Darkness - lights lit,Fine no high winds,Urban,Dry,None,-1,Not known,9
Serious,Female,21,21 - 25,Centre of carriageway without refuge,Unknown or other,2023-10-08T19:00:00Z,Darkness - lights lit,Fine no high winds,Urban,Dry,None,23,Male,19
Slight,Male,39,36 - 45,On footway or verge,Unknown or other,2023-07-31T16:34:00Z,Daylight,Fine no high winds,Urban,Dry,None,20,Male,9
Slight,Male,39,36 - 45,On footway or verge,Unknown or other,2023-07-31T16:34:00Z,Daylight,Fine no high winds,Urban,Dry,None,36,Female,9
Slight,Male,39,36 - 45,On footway or verge,Unknown or other,2023-07-31T16:34:00Z,Daylight,Fine no high winds,Urban,Dry,None,23,Male,9
Serious,Female,38,36 - 45,On footway or verge,Unknown or other,2023-07-31T16:34:00Z,Daylight,Fine no high winds,Urban,Dry,None,20,Male,9
Serious,Female,38,36 - 45,On footway or verge,Unknown or other,2023-07-31T16:34:00Z,Daylight,Fine no high winds,Urban,Dry,None,36,Female,9
Serious,Female,38,36 - 45,On footway or verge,Unknown or other,2023-07-31T16:34:00Z,Daylight,Fine no high winds,Urban,Dry,None,23,Male,9
Serious,Female,84,Over 75,"In carriageway, crossing elsewhere",From drivers offside,2023-01-24T10:30:00Z,Daylight,Fine no high winds,Urban,Dry,None,-1,Male,19
Serious,Male,16,16 - 20,"In carriageway, crossing elsewhere",From drivers nearside,2023-04-26T17:50:00Z,Daylight,Unknown,Urban,Dry,None,73,Male,9
Serious,Male,77,Over 75,"In carriageway, crossing elsewhere",From drivers nearside,2023-01-03T17:15:00Z,Darkness - lights lit,Raining no high winds,Urban,Wet or damp,None,48,Male,9
Slight,Male,6,6 - 10,"In carriageway, crossing elsewhere",From drivers nearside,2023-03-30T08:15:00Z,Daylight,Fine no high winds,Urban,Wet or damp,None,30,Male,9
Slight,Female,16,16 - 20,On pedestrian crossing facility,From drivers offside,2023-11-03T18:10:00Z,Darkness - lights lit,Raining no high winds,Urban,Wet or damp,None,-1,Not known,9
Serious,Female,49,46 - 55,On footway or verge,Unknown or other,2023-05-30T14:50:00Z,Daylight,Fine no high winds,Urban,Dry,None,26,Male,9
Fatal,Male,63,56 - 65,On footway or verge,Unknown or other,2023-05-30T14:50:00Z,Daylight,Fine no high winds,Urban,Dry,None,26,Male,9
Serious,Female,82,Over 75,"In carriageway, crossing elsewhere",From drivers offside,2023-05-13T14:45:00Z,Daylight,Fine no high winds,Rural,Dry,None,-1,Male,1
Fatal,Female,13,11 - 15,"In carriageway, not crossing",Walking facing traffic,2023-07-27T19:06:00Z,Daylight,Fine no high winds,Rural,Dry,None,14,Male,97
Slight,Male,14,11 - 15,"In carriageway, crossing elsewhere",From nearside masked by vehicle,2023-01-25T06:48:00Z,Darkness - lighting unknown,Unknown,Urban,Wet or damp,None,22,Male,9
Slight,Female,5,0 - 5,Centre of carriageway without refuge,From drivers nearside,2023-01-16T08:26:00Z,Darkness - lights lit,Raining no high winds,Urban,Wet or damp,None,35,Male,9
Fatal,Female,15,11 - 15,On pedestrian crossing facility,From drivers offside,2023-05-01T21:32:00Z,Darkness - lights lit,Fine no high winds,Urban,Dry,None,40,Male,9
Serious,Male,49,46 - 55,Centre of carriageway without refuge,From drivers offside,2023-11-17T18:40:00Z,Darkness - lights lit,Fine no high winds,Urban,Dry,None,25,Male,3
Serious,Female,18,16 - 20,"In carriageway, not crossing","In carriageway, stationary, masked",2023-04-04T08:05:00Z,Daylight,Fine no high winds,Urban,Dry,None,73,Male,11
Fatal,Female,71,66 - 75,On pedestrian crossing facility,From drivers offside,2023-05-17T15:00:00Z,Daylight,Fine no high winds,Urban,Dry,None,51,Male,21
Slight,Male,10,6 - 10,"In carriageway, crossing elsewhere",From drivers nearside,2023-08-11T13:08:00Z,Daylight,Fine no high winds,Urban,Dry,None,36,Male,9
Serious,Male,39,36 - 45,"In carriageway, not crossing","In carriageway, stationary",2023-02-12T05:49:00Z,Darkness - lights lit,Fine no high winds,Urban,Dry,None,32,Male,9
Slight,Male,5,0 - 5,On footway or verge,Unknown or other,2023-02-08T15:20:00Z,Daylight,Unknown,Urban,Dry,None,20,Male,9
Slight,Male,52,46 - 55,"In carriageway, crossing elsewhere",From drivers nearside,2023-03-09T19:25:00Z,Darkness - lights lit,Raining high winds,Urban,Wet or damp,None,39,Female,9
Slight,Male,12,11 - 15,Centre of carriageway without refuge,From drivers offside,2023-12-12T16:30:00Z,Darkness - lights lit,Fine no high winds,Urban,Dry,None,-1,Not known,9
Fatal,Female,75,66 - 75,"In carriageway, crossing elsewhere",From drivers offside,2023-07-11T14:17:00Z,Daylight,Fine no high winds,Urban,Wet or damp,None,70,Male,19
Serious,Male,41,36 - 45,"In carriageway, not crossing",Walking back to traffic,2023-07-29T23:30:00Z,Daylight,Fine no high winds,Urban,Dry,None,45,Male,11
Slight,Male,5,0 - 5,On pedestrian crossing facility,From drivers nearside,2023-03-25T17:10:00Z,Daylight,Fine no high winds,Urban,Dry,None,-1,Not known,9
Serious,Female,12,11 - 15,"In carriageway, crossing elsewhere",Unknown or other,2023-02-07T16:10:00Z,Daylight,Fine no high winds,Urban,Dry,None,-1,Not known,11
Serious,Female,12,11 - 15,"In carriageway, crossing elsewhere",Unknown or other,2023-02-07T16:10:00Z,Daylight,Fine no high winds,Urban,Dry,None,-1,Not known,9
Slight,Male,31,26 - 35,"In carriageway, crossing elsewhere",From offside masked by vehicle,2023-06-07T14:20:00Z,Daylight,Fine no high winds,Urban,Dry,None,47,Female,9
Slight,Male,31,26 - 35,"In carriageway, crossing elsewhere",From offside masked by vehicle,2023-06-07T14:20:00Z,Daylight,Fine no high winds,Urban,Dry,None,-1,Not known,98
Fatal,Male,29,26 - 35,"In carriageway, not crossing",Unknown or other,2023-10-24T21:42:00Z,Darkness - no lighting,Fine no high winds,Urban,Dry,None,51,Male,9
Fatal,Female,83,Over 75,Unknown or other,From drivers offside,2023-10-31T11:14:00Z,Daylight,Other,Urban,Wet or damp,None,81,Male,9
Slight,Male,75,66 - 75,On footway or verge,Unknown or other,2023-12-05T09:51:00Z,Daylight,Fine no high winds,Urban,Wet or damp,None,35,Not known,19
Slight,Female,84,Over 75,On pedestrian crossing facility,From offside masked by vehicle,2023-02-15T15:49:00Z,Daylight,Fine no high winds,Urban,Dry,None,40,Male,19
Slight,Female,44,36 - 45,On pedestrian crossing facility,From drivers nearside,2023-12-07T22:05:00Z,Darkness - lights lit,Raining no high winds,Urban,Wet or damp,None,28,Male,19
Fatal,Male,53,46 - 55,On pedestrian crossing facility,From drivers nearside,2023-12-07T22:05:00Z,Darkness - lights lit,Raining no high winds,Urban,Wet or damp,None,28,Male,19
Slight,Male,30,26 - 35,Unknown or other,Unknown or other,2023-09-25T08:44:00Z,Daylight,Fine no high winds,Urban,Dry,None,18,Male,9
Serious,Female,30,26 - 35,On footway or verge,Unknown or other,2023-10-16T13:12:00Z,Darkness - lights unlit,Fine no high winds,Urban,Dry,None,64,Male,11
Fatal,Female,77,Over 75,On footway or verge,Unknown or other,2023-10-16T13:12:00Z,Darkness - lights unlit,Fine no high winds,Urban,Dry,None,64,Male,11
Slight,Female,29,26 - 35,On footway or verge,Unknown or other,2023-10-16T13:12:00Z,Darkness - lights unlit,Fine no high winds,Urban,Dry,None,64,Male,11
Slight,Male,20,16 - 20,On footway or verge,Unknown or other,2023-10-16T13:12:00Z,Darkness - lights unlit,Fine no high winds,Urban,Dry,None,64,Male,11
Slight,Male,22,21 - 25,On footway or verge,Unknown or other,2023-10-16T13:12:00Z,Darkness - lights unlit,Fine no high winds,Urban,Dry,None,64,Male,11
Slight,Female,33,26 - 35,On footway or verge,Unknown or other,2023-10-16T13:12:00Z,Darkness - lights unlit,Fine no high winds,Urban,Dry,None,64,Male,11
Serious,Male,35,26 - 35,On footway or verge,Unknown or other,2023-10-16T13:12:00Z,Darkness - lights unlit,Fine no high winds,Urban,Dry,None,64,Male,11
Slight,Female,32,26 - 35,On zig-zag exit lines,From drivers offside,2023-06-03T22:30:00Z,Darkness - lighting unknown,Unknown,Urban,NA,None,-1,Not known,9
Serious,Female,57,56 - 65,"In carriageway, crossing elsewhere",From drivers offside,2023-12-12T22:18:00Z,Darkness - lights lit,Fine no high winds,Urban,Wet or damp,NA,51,Male,9
Fatal,Male,63,56 - 65,Centre of carriageway without refuge,From nearside masked by vehicle,2023-12-13T12:20:00Z,Daylight,Fine no high winds,Urban,Wet or damp,None,25,Male,9
Slight,Male,18,16 - 20,"In carriageway, crossing elsewhere",From drivers offside,2023-07-12T19:42:00Z,Daylight,Fine no high winds,Urban,Dry,None,19,Female,19
Fatal,Male,49,46 - 55,"In carriageway, crossing elsewhere",From drivers nearside,2023-12-19T06:07:00Z,Darkness - lighting unknown,Raining no high winds,Urban,Wet or damp,None,52,Male,19
Fatal,Male,25,21 - 25,Unknown or other,Unknown or other,2023-10-06T21:40:00Z,Darkness - lights lit,Fine no high winds,Urban,Dry,None,49,Male,11
Fatal,Female,84,Over 75,"In carriageway, crossing elsewhere",From drivers offside,2023-05-09T14:36:00Z,Daylight,Fine no high winds,Urban,Dry,None,62,Male,11
Slight,Male,38,36 - 45,On footway or verge,Unknown or other,2023-07-19T11:40:00Z,Daylight,Fine no high winds,Urban,Dry,None,-1,Not known,11
Slight,Male,38,36 - 45,On footway or verge,Unknown or other,2023-07-19T11:40:00Z,Daylight,Fine no high winds,Urban,Dry,None,34,Male,9
